Date,Open,High,Low,Close,Adj Close,Volume
2016-03-07,13235.299805,13447.700195,13235.299805,13383.599609,13383.599609,343216600
2016-03-08,13374.099609,13391.799805,13256.799805,13311.099609,13311.099609,330238400
2016-03-09,13346.200195,13435.900391,13342.700195,13392.900391,13392.900391,300409700
2016-03-10,13423.599609,13513.200195,13298.299805,13379.099609,13379.099609,274931600
2016-03-11,13434.500000,13543.299805,13434.500000,13522.000000,13522.000000,239951500
2016-03-14,13520.099609,13530.299805,13426.099609,13477.500000,13477.500000,232678300
2016-03-15,13383.099609,13400.299805,13284.200195,13400.299805,13400.299805,245980600
2016-03-16,13410.500000,13507.299805,13402.000000,13478.099609,13478.099609,265553600
2016-03-17,13505.200195,13685.500000,13494.599609,13621.299805,13621.299805,314587600
2016-03-18,13607.900391,13621.799805,13490.099609,13497.099609,13497.099609,680620500
2016-03-21,13496.000000,13567.400391,13479.299805,13561.099609,13561.099609,182302300
2016-03-22,13527.099609,13565.400391,13493.500000,13493.500000,13493.500000,191544100
2016-03-23,13503.099609,13503.099609,13365.000000,13379.500000,13379.500000,247556200
2016-03-24,13302.900391,13358.099609,13255.500000,13358.099609,13358.099609,192384300
2016-03-28,13369.299805,13395.500000,13277.200195,13390.200195,13390.200195,133834300
2016-03-29,13353.599609,13443.799805,13270.200195,13426.200195,13426.200195,189196700
2016-03-30,13475.400391,13575.000000,13475.400391,13504.000000,13504.000000,212730200
2016-03-31,13495.500000,13548.200195,13475.299805,13494.400391,13494.400391,219047700
2016-04-01,13404.599609,13440.799805,13323.599609,13440.400391,13440.400391,205610900
2016-04-04,13450.000000,13452.900391,13314.599609,13336.200195,13336.200195,162699600
2016-04-05,13309.299805,13326.500000,13262.200195,13304.700195,13304.700195,181700400
2016-04-06,13308.900391,13348.000000,13237.900391,13347.500000,13347.500000,209952600
2016-04-07,13327.299805,13327.299805,13217.200195,13266.400391,13266.400391,209397600
2016-04-08,13328.400391,13428.799805,13328.400391,13396.700195,13396.700195,223954300
2016-04-11,13422.099609,13529.000000,13422.099609,13422.799805,13422.799805,215507800
2016-04-12,13447.500000,13632.799805,13444.500000,13581.400391,13581.400391,287997300
2016-04-13,13617.900391,13703.599609,13608.900391,13671.400391,13671.400391,236988900
2016-04-14,13680.000000,13701.099609,13629.599609,13668.299805,13668.299805,227931800
2016-04-15,13632.200195,13657.599609,13596.200195,13637.200195,13637.200195,201683900
2016-04-18,13595.599609,13730.599609,13548.799805,13719.799805,13719.799805,223276100
2016-04-19,13761.099609,13871.799805,13739.200195,13867.299805,13867.299805,260806600
2016-04-20,13873.000000,13971.799805,13854.000000,13911.299805,13911.299805,302419700
2016-04-21,13924.200195,13963.099609,13844.700195,13881.200195,13881.200195,263388500
2016-04-22,13874.700195,13928.799805,13854.400391,13874.000000,13874.000000,224861200
2016-04-25,13861.099609,13861.099609,13756.000000,13796.000000,13796.000000,182890300
2016-04-26,13821.400391,13862.400391,13793.000000,13809.400391,13809.400391,223160700
2016-04-27,13833.900391,13902.799805,13823.500000,13887.700195,13887.700195,267456600
2016-04-28,13874.099609,13966.500000,13780.200195,13886.400391,13886.400391,300923200
2016-04-29,13891.700195,13972.599609,13889.200195,13951.500000,13951.500000,330816400
2016-05-02,13963.900391,13963.900391,13836.400391,13865.599609,13865.599609,240760400
2016-05-03,13842.099609,13842.099609,13599.900391,13707.700195,13707.700195,254404600
2016-05-04,13680.700195,13734.099609,13570.000000,13632.000000,13632.000000,242917200
2016-05-05,13683.799805,13758.900391,13578.799805,13632.000000,13632.000000,241876000
2016-05-06,13621.799805,13768.400391,13597.599609,13701.500000,13701.500000,236543900
2016-05-09,13663.599609,13663.599609,13535.500000,13563.799805,13563.799805,200744000
2016-05-10,13582.000000,13798.000000,13582.000000,13775.200195,13775.200195,217463600
2016-05-11,13779.000000,13829.700195,13737.299805,13788.200195,13788.200195,256547100
2016-05-12,13843.099609,13882.500000,13670.200195,13787.799805,13787.799805,229066300
2016-05-13,13774.299805,13833.599609,13725.500000,13748.599609,13748.599609,221864700
2016-05-16,13807.200195,13930.599609,13807.200195,13893.500000,13893.500000,213145800
2016-05-17,13886.599609,13981.200195,13873.700195,13917.099609,13917.099609,237676600
2016-05-18,13900.700195,13949.500000,13792.200195,13826.000000,13826.000000,270185000
2016-05-19,13759.099609,13817.299805,13690.200195,13817.299805,13817.299805,245226900
2016-05-20,13863.900391,13962.000000,13863.900391,13919.599609,13919.599609,192297500
2016-05-24,13927.700195,14025.799805,13920.299805,13952.900391,13952.900391,212998300
2016-05-25,13963.700195,14093.299805,13963.700195,14053.700195,14053.700195,225244200
2016-05-26,14127.000000,14143.500000,14049.000000,14049.200195,14049.200195,205325900
2016-05-27,14050.500000,14130.900391,14045.599609,14105.200195,14105.200195,178296600
2016-05-30,14119.599609,14124.000000,14068.900391,14086.700195,14086.700195,69147900
2016-05-31,14099.700195,14172.400391,14063.299805,14065.799805,14065.799805,350396100
2016-06-01,14017.000000,14066.000000,13959.599609,14063.500000,14063.500000,197727200
2016-06-02,14055.799805,14147.599609,14017.099609,14137.000000,14137.000000,159506200
2016-06-03,14154.000000,14240.299805,14128.200195,14226.799805,14226.799805,225080700
2016-06-06,14261.200195,14297.500000,14236.700195,14276.200195,14276.200195,221587400
2016-06-07,14272.099609,14365.599609,14272.099609,14365.599609,14365.599609,231774800
2016-06-08,14411.599609,14450.900391,14289.700195,14313.099609,14313.099609,273079700
2016-06-09,14270.500000,14270.500000,14203.400391,14240.000000,14240.000000,204015500
2016-06-10,14214.799805,14214.799805,14003.700195,14037.500000,14037.500000,206939200
2016-06-13,14035.400391,14078.599609,13958.799805,13993.900391,13993.900391,230786000
2016-06-14,13981.599609,14000.000000,13855.500000,13884.200195,13884.200195,212739400
2016-06-15,13883.900391,13987.599609,13883.900391,13923.500000,13923.500000,233766100
2016-06-16,13907.900391,13907.900391,13814.200195,13882.400391,13882.400391,252326100
2016-06-17,13894.900391,13957.200195,13892.000000,13901.799805,13901.799805,587674500
2016-06-20,13915.299805,14059.400391,13915.299805,14015.099609,14015.099609,192086300
2016-06-21,14007.000000,14049.200195,13956.900391,14012.299805,14012.299805,162875900
2016-06-22,14037.700195,14066.599609,13981.799805,14003.799805,14003.799805,193981600
2016-06-23,14071.500000,14150.400391,14071.500000,14131.400391,14131.400391,179671800
2016-06-24,14020.500000,14020.500000,13790.700195,13891.900391,13891.900391,278507800
2016-06-27,13856.900391,13856.900391,13609.599609,13689.799805,13689.799805,285929200
2016-06-28,13745.599609,13869.200195,13745.599609,13842.700195,13842.700195,222712600
2016-06-29,13928.700195,14058.000000,13928.700195,14036.700195,14036.700195,235539800
2016-06-30,14056.200195,14106.799805,13967.599609,14064.500000,14064.500000,246966800
2016-07-04,14200.099609,14291.599609,14200.099609,14258.900391,14258.900391,116770200
